Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Included / International,Price / International,Compare At Price / International,Status
bratwurst-balls,Bratwurst Balls,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/1254/7913/files/instagram10.jpg?v=1640147520"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/1254/7913/files/instagram9.jpg?v=1640147520"" alt=""""></div>
</div>
</div>",Jacos-store-demo,,"",$20-$30,true,Title,Default Title,,,,,"",0.0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0849/6899/7142/products/1.jpg?v=1702699525,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
bratwurst-balls,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/2.jpg?v=1702699525,2,,,,,,,,,,,,,,,,,,,,,,,,,,
bratwurst-balls,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/3.jpg?v=1702699525,3,,,,,,,,,,,,,,,,,,,,,,,,,,
breakfast-trio,Breakfast Trio,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/1254/7913/files/instagram10.jpg?v=1640147520"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/1254/7913/files/instagram9.jpg?v=1640147520"" alt=""""></div>
</div>
</div>",Jacos-store-demo,,"","$20-$30, $30-$40, DarkSalmon, Red",true,Size,500g,Color,Red,,,"",0.0,,0,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0849/6899/7142/products/1_d392c44a-8be2-4254-9e03-422b281c36f5.jpg?v=1702699529,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/1_d392c44a-8be2-4254-9e03-422b281c36f5.jpg?v=1702699529,kg,,,true,,,true,,,active
breakfast-trio,,,,,,,,,500g,,DarkSalmon,,,"",0.0,,0,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0849/6899/7142/products/2_a302f9aa-825d-47b1-bdae-bc9efbee5a3a.jpg?v=1702699529,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/2_a302f9aa-825d-47b1-bdae-bc9efbee5a3a.jpg?v=1702699529,kg,,,,,,,,,
breakfast-trio,,,,,,,,,1kg,,Red,,,"",0.0,,0,deny,manual,30.00,,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/1_d392c44a-8be2-4254-9e03-422b281c36f5.jpg?v=1702699529,kg,,,,,,,,,
breakfast-trio,,,,,,,,,1kg,,DarkSalmon,,,"",0.0,,0,deny,manual,30.00,,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/2_a302f9aa-825d-47b1-bdae-bc9efbee5a3a.jpg?v=1702699529,kg,,,,,,,,,
cheddar-cheese-meat,Cheddar Cheese Meat,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/1254/7913/files/instagram10.jpg?v=1640147520"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/1254/7913/files/instagram9.jpg?v=1640147520"" alt=""""></div>
</div>
</div>",Jacos-store-demo,,"",$20-$30,true,Size,500g,,,,,"",0.0,,0,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0849/6899/7142/products/1.png?v=1702699536,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/1.png?v=1702699536,kg,,,true,,,true,,,active
cheddar-cheese-meat,,,,,,,,,1kg,,,,,"",0.0,,0,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0849/6899/7142/products/2_f0507628-46cc-4133-a044-d09e128dd2ca.jpg?v=1702699536,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/1.png?v=1702699536,kg,,,,,,,,,
cheddar-cheese-meat,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/3_817cb2ce-94a6-4e7f-b715-adea62ca6e1d.jpg?v=1702699536,3,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,Chicken,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/1254/7913/files/instagram10.jpg?v=1640147520"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0553/1254/7913/files/instagram9.jpg?v=1640147520"" alt=""""></div>
</div>
</div>",Jacos-store-demo,,"",$20-$30,true,Size,500g,,,,,"",0.0,,0,deny,manual,25.00,28.00,true,true,"",https://cdn.shopify.com/s/files/1/0849/6899/7142/products/1_36e5dc4a-a756-43c6-9d90-f65460905c47.jpg?v=1702699539,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/1_36e5dc4a-a756-43c6-9d90-f65460905c47.jpg?v=1702699539,kg,,,true,,,true,,,active
chicken,,,,,,,,,1kg,,,,,"",0.0,,0,deny,manual,25.00,28.00,true,true,"",https://cdn.shopify.com/s/files/1/0849/6899/7142/products/2_fef5658c-2167-46ac-ac1c-2fa197f5379a.jpg?v=1702699539,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0849/6899/7142/products/2_fef5658c-2167-46ac-ac1c-2fa197f5379a.jpg?v=1702699539,kg,,,,,,,,,
